epoch     train_loss  valid_loss  valid_accuracy  time
0         0.380964    0.713666    0.874495        53:23                                                                                                      
1         0.395397    0.752062    0.869854        1:00:07                                                                                                    
2         0.321174    0.731676    0.855750        59:28                                                                                                      
3         0.283225    1.287673    0.739857        59:27                                                                                                      
4         0.231146    1.154728    0.828377        59:32                                                                                                      
5         0.218512    1.497451    0.814135        59:55                                                                                                      
6         0.191296    1.251162    0.841917        59:38                                                                                                      
7         0.204784    1.327683    0.844508        59:48                                                                                                      
8         0.122116    1.182443    0.850011        59:14                                                                                                      
9         0.153344    1.230902    0.855307        59:49                                                                                                       
saving model
