epoch     train_loss  valid_loss  valid_accuracy  time
0         0.279246    1.802960    0.742069        48:10                                                                                                      
1         0.263708    1.453792    0.796912        49:41                                                                                                      
2         0.176442    1.406506    0.771986        49:35                                                                                                      
3         0.216353    1.455645    0.789759        49:32                                                                                                      
4         0.151158    1.903248    0.792518        49:41                                                                                                      
5         0.142166    1.205730    0.814658        49:47                                                                                                      
6         0.161530    1.360227    0.787862        49:54                                                                                                      
7         0.094409    1.314356    0.818492        49:41                                                                                                      
8         0.133893    1.244552    0.818422        49:47                                                                                                      
9         0.110081    1.196786    0.810620        50:02                                                                                                       
saving model
