epoch     train_loss  valid_loss  valid_accuracy  time
0         0.228567    0.907456    0.775266        49:01                                                                                                      
1         0.284310    1.989810    0.752596        49:24                                                                                                      
2         0.138700    1.324133    0.760317        49:45                                                                                                      
3         0.167134    0.929439    0.792932        49:36                                                                                                      
4         0.125863    1.142669    0.792180        49:30                                                                                                      
5         0.201978    1.125328    0.796809        49:20                                                                                                      
6         0.130408    1.033361    0.793230        49:14                                                                                                      
7         0.077863    0.985862    0.816392        49:11                                                                                                      
8         0.131961    0.979472    0.805320        49:09                                                                                                      
9         0.098571    0.944488    0.817624        49:21                                                                                                       
saving model
