epoch     train_loss  valid_loss  valid_accuracy  time
0         0.557275    0.140020    0.978066        43:45                                                                                                      
1         0.441228    0.679668    0.871115        48:58                                                                                                      
2         0.428425    0.151424    0.974647        49:05                                                                                                      
3         0.450953    0.180753    0.960448        49:01                                                                                                      
4         0.312291    0.215103    0.953774        49:02                                                                                                      
5         0.309080    0.119232    0.979950        49:03                                                                                                      
6         0.288205    0.119374    0.974843        48:52                                                                                                      
7         0.348984    0.125717    0.978358        49:02                                                                                                      
8         0.158922    0.166533    0.966165        49:16                                                                                                      
9         0.171681    0.177560    0.956284        49:13                                                                                                       
saving model
