epoch     train_loss  valid_loss  valid_accuracy  time
0         0.430442    0.324167    0.911535        43:14                                                                                                      
1         0.353855    0.146015    0.973856        48:35                                                                                                      
2         0.386887    0.141534    0.967398        48:40                                                                                                      
3         0.283630    0.111013    0.974811        48:46                                                                                                      
4         0.301087    0.560382    0.889368        48:34                                                                                                      
5         0.260008    0.111862    0.979122        48:49                                                                                                      
6         0.213443    0.111768    0.969754        48:43                                                                                                      
7         0.149570    0.186585    0.955652        48:27                                                                                                      
8         0.152012    0.199293    0.953224        48:45                                                                                                      
9         0.136907    0.166776    0.960037        49:00                                                                                                       
saving model
