epoch     train_loss  valid_loss  valid_accuracy  time
0         0.703232    0.602642    0.884042        44:11                                                                                                      
1         0.432324    0.725158    0.850890        49:25                                                                                                      
2         0.319694    0.817686    0.861478        49:28                                                                                                      
3         0.273934    0.663077    0.851536        49:23                                                                                                      
4         0.223191    0.862272    0.838582        49:16                                                                                                      
5         0.184760    0.667148    0.856601        49:03                                                                                                      
6         0.275431    0.750029    0.880421        49:14                                                                                                      
7         0.155554    0.889286    0.854178        49:13                                                                                                      
8         0.153318    0.889150    0.865169        49:12                                                                                                      
9         0.165245    0.905115    0.862904        49:30                                                                                                       
saving model
