epoch     train_loss  valid_loss  valid_accuracy  time
0         0.357627    0.514769    0.826289        43:56                                                                                                      
1         0.239731    0.580855    0.831172        48:56                                                                                                      
2         0.233524    0.428278    0.882838        49:08                                                                                                      
3         0.234175    0.543482    0.844359        49:22                                                                                                      
4         0.201632    0.635398    0.832970        49:15                                                                                                      
5         0.167131    0.687017    0.849860        49:12                                                                                                      
6         0.151358    0.674911    0.855371        49:42                                                                                                      
7         0.122859    0.727726    0.855733        49:16                                                                                                      
8         0.101591    0.581832    0.866122        49:07                                                                                                      
9         0.104619    0.597114    0.869789        49:04                                                                                                       
saving model
