epoch     train_loss  valid_loss  valid_accuracy  time
0         0.569198    1.283739    0.749407        30:11                                                                                                      
1         0.293568    0.879181    0.836113        29:44                                                                                                      
2         0.327823    1.116996    0.807575        29:38                                                                                                      
3         0.190747    0.926885    0.818932        29:41                                                                                                      
4         0.207489    0.796877    0.845789        29:37                                                                                                      
5         0.122396    0.899247    0.845315        29:38                                                                                                      
6         0.177403    0.815985    0.855985        29:36                                                                                                      
7         0.123564    0.838287    0.848817        29:32                                                                                                      
8         0.187514    0.923179    0.847614        29:34                                                                                                      
9         0.103212    0.943535    0.849562        29:33                                                                                                       
saving model
