epoch     train_loss  valid_loss  valid_accuracy  time
0         0.610225    0.316838    0.923854        29:49                                                                                                      
1         0.515930    0.230093    0.970772        29:37                                                                                                      
2         0.427714    0.248213    0.936483        29:36                                                                                                      
3         0.357129    0.164618    0.967587        29:37                                                                                                      
4         0.327107    0.153671    0.968840        29:37                                                                                                      
5         0.328692    0.194284    0.949748        29:36                                                                                                      
6         0.263667    0.199445    0.948813        29:38                                                                                                      
7         0.236722    0.197262    0.960007        29:38                                                                                                      
8         0.231255    0.172332    0.965956        29:41                                                                                                      
9         0.183564    0.177604    0.966212        29:37                                                                                                       
saving model
