epoch     train_loss  valid_loss  valid_accuracy  time
0         0.354886    0.536499    0.887612        29:56                                                                                                      
1         0.438799    0.424584    0.899354        29:34                                                                                                      
2         0.355054    0.473090    0.897681        29:28                                                                                                      
3         0.331325    0.551936    0.877833        29:27                                                                                                      
4         0.267853    0.537661    0.900129        29:27                                                                                                      
5         0.214713    0.469136    0.907043        29:33                                                                                                      
6         0.165027    0.570801    0.887516        29:34                                                                                                      
7         0.202523    0.482572    0.903229        29:34                                                                                                      
8         0.190670    0.487559    0.908651        29:36                                                                                                      
9         0.145260    0.495577    0.909922        29:38                                                                                                       
saving model
