epoch     train_loss  valid_loss  valid_accuracy  time
0         0.301061    1.062781    0.830790        1:03:01                                                                                                    
1         0.269736    0.958171    0.826365        1:03:41                                                                                                    
2         0.227993    1.979678    0.791462        1:02:01                                                                                                    
3         0.179006    0.947068    0.840284        46:17                                                                                                      
4         0.206311    1.155839    0.812763        41:37                                                                                                      
5         0.136911    1.039044    0.826513        40:39                                                                                                      
6         0.120367    0.906229    0.851982        41:28                                                                                                      
7         0.101003    1.063788    0.837740        40:57                                                                                                      
8         0.097616    0.976684    0.850515        40:49                                                                                                      
9         0.124215    1.013357    0.847386        40:24                                                                                                       
saving model
