epoch     train_loss  valid_loss  valid_accuracy  time
0         0.518579    0.129064    0.979032        37:19                                                                                                      
1         0.454625    0.277943    0.921648        40:43                                                                                                      
2         0.462950    0.176777    0.968638        40:04                                                                                                      
3         0.436035    0.596677    0.843543        40:00                                                                                                      
4         0.337283    0.543216    0.925051        39:48                                                                                                      
5         0.336577    0.370538    0.910268        40:20                                                                                                      
6         0.311419    0.171646    0.969466        40:19                                                                                                      
7         0.293604    0.435986    0.898981        40:24                                                                                                      
8         0.208526    0.241999    0.952625        39:35                                                                                                      
9         0.219510    0.298820    0.935128        40:05                                                                                                       
saving model
