epoch     train_loss  valid_loss  valid_accuracy  time
0         0.572861    0.864436    0.840109        37:52                                                                                                      
1         0.342177    0.685470    0.871051        40:55                                                                                                      
2         0.274261    0.631708    0.871156        40:33                                                                                                      
3         0.254660    0.728271    0.881041        40:53                                                                                                      
4         0.290182    0.645300    0.868818        40:50                                                                                                      
5         0.202965    0.728319    0.864718        40:41                                                                                                      
6         0.161095    0.984992    0.815009        40:29                                                                                                      
7         0.195108    0.713788    0.854387        40:36                                                                                                      
8         0.189295    0.830787    0.850223        40:55                                                                                                      
9         0.191309    0.814513    0.850954        40:41                                                                                                       
saving model
