epoch     train_loss  valid_loss  valid_accuracy  time
0         0.249183    1.057492    0.840547        30:03                                                                                                      
1         0.230468    0.944961    0.829434        29:50                                                                                                      
2         0.315261    0.992104    0.829412        29:46                                                                                                      
3         0.183757    0.998884    0.801987        29:45                                                                                                      
4         0.347406    0.855019    0.843814        29:45                                                                                                      
5         0.257633    0.818982    0.843624        29:46                                                                                                      
6         0.127276    0.781690    0.846818        29:46                                                                                                      
7         0.107212    0.786965    0.861460        29:48                                                                                                      
8         0.091378    0.894353    0.856563        29:50                                                                                                      
9         0.092032    0.819576    0.858776        29:48                                                                                                       
saving model
