epoch     train_loss  valid_loss  valid_accuracy  time
0         0.231409    0.680767    0.836624        30:05                                                                                                      
1         0.228429    0.818404    0.811592        29:39                                                                                                      
2         0.171725    1.059234    0.757148        29:37                                                                                                      
3         0.253802    0.594475    0.856146        29:36                                                                                                      
4         0.144375    0.585235    0.831280        29:36                                                                                                      
5         0.113253    0.726689    0.840212        29:36                                                                                                      
6         0.080582    0.594921    0.850172        29:34                                                                                                      
7         0.077267    0.660299    0.855658        29:35                                                                                                      
8         0.092166    0.587636    0.861887        29:36                                                                                                      
9         0.076097    0.622301    0.862013        29:37                                                                                                       
saving model
