epoch     train_loss  valid_loss  valid_accuracy  time
0         0.563618    0.403502    0.864142        29:54                                                                                                      
1         0.582972    0.624246    0.806262        29:40                                                                                                      
2         0.468966    0.102634    0.981682        29:35                                                                                                      
3         0.414220    0.370062    0.923190        29:33                                                                                                      
4         0.419189    0.171689    0.972290        29:33                                                                                                      
5         0.320681    0.145363    0.963639        29:34                                                                                                      
6         0.260192    0.204809    0.948352        29:34                                                                                                      
7         0.251134    0.368663    0.900500        29:34                                                                                                      
8         0.217633    0.335835    0.910219        29:33                                                                                                      
9         0.210516    0.367983    0.907644        29:34                                                                                                       
saving model
