epoch     train_loss  valid_loss  valid_accuracy  time
0         0.404977    0.264123    0.929307        29:49                                                                                                      
1         0.437595    0.185858    0.956245        29:34                                                                                                      
2         0.427157    0.178561    0.959923        29:30                                                                                                      
3         0.275558    0.240301    0.915896        29:30                                                                                                      
4         0.287670    0.154496    0.962763        29:28                                                                                                      
5         0.254699    0.428355    0.873865        29:29                                                                                                      
6         0.243687    0.336328    0.901892        29:30                                                                                                      
7         0.170252    0.288035    0.919991        29:31                                                                                                      
8         0.166020    0.248714    0.934107        29:32                                                                                                      
9         0.145139    0.326171    0.913963        29:33                                                                                                       
saving model
