epoch     train_loss  valid_loss  valid_accuracy  time
0         0.433433    0.523342    0.883838        29:57                                                                                                      
1         0.345300    0.523182    0.889182        29:41                                                                                                      
2         0.329293    0.625136    0.869750        29:36                                                                                                      
3         0.256531    0.585841    0.864312        29:35                                                                                                      
4         0.236878    0.506895    0.889846        29:36                                                                                                      
5         0.199797    0.604419    0.879027        29:35                                                                                                      
6         0.193994    0.597114    0.881956        29:38                                                                                                      
7         0.180411    0.522838    0.895118        29:39                                                                                                      
8         0.141422    0.566705    0.888524        29:40                                                                                                      
9         0.121646    0.537327    0.895694        29:40                                                                                                       
saving model
