epoch     train_loss  valid_loss  valid_accuracy  time
0         0.304531    0.414644    0.892194        29:58                                                                                                      
1         0.238694    0.701867    0.864782        29:43                                                                                                      
2         0.269998    0.523395    0.874032        29:42                                                                                                      
3         0.270971    0.457822    0.861353        29:39                                                                                                      
4         0.175383    0.423377    0.869207        29:39                                                                                                      
5         0.172957    0.458122    0.875678        29:39                                                                                                      
6         0.172793    0.475841    0.889863        29:39                                                                                                      
7         0.107005    0.380828    0.894385        29:41                                                                                                      
8         0.087122    0.416564    0.891732        29:42                                                                                                      
9         0.101075    0.384199    0.899227        29:43                                                                                                       
saving model
