epoch     train_loss  valid_loss  valid_accuracy  time
0         0.700066    1.130623    0.785747        12:20                                                                                                      
1         0.506378    1.146060    0.740868        12:04                                                                                                      
2         0.649697    1.502668    0.763925        12:04                                                                                                      
3         0.417659    2.058697    0.782296        12:03                                                                                                      
4         0.501180    1.011221    0.782705        12:03                                                                                                      
5         0.368148    1.505319    0.783476        12:04                                                                                                      
6         0.352854    1.003222    0.790879        12:03                                                                                                      
7         0.280190    1.137460    0.795399        12:03                                                                                                      
8         0.257755    1.057025    0.792279        12:02                                                                                                      
9         0.286904    1.088885    0.794607        12:03                                                                                                       
saving model
