epoch     train_loss  valid_loss  valid_accuracy  time
0         0.474606    0.943288    0.767655        18:09                                                                                                      
1         0.584695    0.984443    0.770774        18:00                                                                                                      
2         0.368628    0.959900    0.765682        17:58                                                                                                      
3         0.358108    1.045036    0.783358        17:56                                                                                                      
4         0.261290    0.990615    0.774123        17:56                                                                                                      
5         0.218214    0.946037    0.792036        17:56                                                                                                      
6         0.267498    0.985717    0.800581        17:57                                                                                                      
7         0.169386    0.979391    0.801087        17:58                                                                                                      
8         0.215763    0.965774    0.802329        17:57                                                                                                      
9         0.163437    0.973886    0.803059        17:59                                                                                                       
saving model
