epoch     train_loss  valid_loss  valid_accuracy  time
0         0.381090    0.970103    0.751462        23:18                                                                                                      
1         0.302062    1.019732    0.776597        23:04                                                                                                      
2         0.311739    0.984269    0.770378        23:22                                                                                                      
3         0.279530    1.045223    0.795231        23:01                                                                                                      
4         0.235275    0.943152    0.763531        23:00                                                                                                      
5         0.249334    0.873407    0.796308        22:58                                                                                                      
6         0.216610    0.965059    0.803749        22:56                                                                                                      
7         0.161243    0.893193    0.815468        23:01                                                                                                      
8         0.123499    0.911538    0.809551        23:03                                                                                                      
9         0.127958    0.961650    0.809994        23:03                                                                                                       
saving model
